ProductId,ProductNumber,ProductName,CSPC,UPC,SCC,SetSubsetId,BrandId,AgentId,RetailPrice,UnitSizeML,ItemsPerUnit,UnitsPerCase,ContainerType,ListDelistCode,ListDate,DelistDate,Created_DT,Updated_DT
1977,0371500,Pelee Island Lighthouse Sauvignon Blanc VQA,0371500,777081716051,10777081716058,546,9203,207,13.45,750,1,12,BOTTLE,2,2013-11-06,NULL,2015-05-03 20:38:05.683,2017-06-06 10:30:43.033
2461,0377564,12 Singing Moon (Pelee Island),0377564,777081716204,10777081716201,545,4394,207,9.25,750,1,12,BOTTLE,5,2014-02-03,2014-10-06,2015-05-03 20:38:05.683,2017-08-29 10:42:00.407
3060,0388355,99 Vinedresser Chardonnay Barrique (Pelee Isl,0388355,777081710301,10777081710308,540,4394,207,8.95,750,1,12,BOTTLE,5,1997-07-30,2001-12-20,2015-05-03 20:38:05.683,2015-05-07 03:28:26.880
3278,0393405,Pelee Island Monarch Vidal VQA,0393405,777081710868,10777081710865,544,4791,207,11.45,750,1,12,BOTTLE,2,1995-03-08,NULL,2015-05-03 20:38:05.683,2017-08-01 08:30:42.650
3290,0393751,Pelee Island Chardonnay VQA,0393751,777081510123,10777081510120,540,4813,207,17.95,1500,1,6,BOTTLE,2,1995-03-15,NULL,2015-05-03 20:38:05.683,2017-08-29 10:42:00.407
3291,0393769,Pelee Island Cabernet Sauvignon,0393769,777081520764,10777081520761,538,4812,207,16.95,1500,1,6,BOTTLE,2,1995-03-15,NULL,2015-05-03 20:38:05.683,2017-05-02 10:30:40.303
3292,0393777,Pelee Island Gewürztraminer (V),0393777,777081510208,10777081510205,126,4811,207,16.45,1500,1,6,BOTTLE,5,1995-03-15,1998-08-11,2015-05-03 20:38:05.683,2015-05-07 03:28:26.880
3969,0433714,Pelee Island Cabernet Franc VQA,0433714,777081720904,10777081720901,559,5133,207,11.95,750,1,12,BOTTLE,2,1996-03-20,NULL,2015-05-03 20:38:05.683,2017-08-29 10:42:00.407
3996,0435321,Pelee Island Cabernet Sauvignon Merlot VQA,0435321,777081720669,10777081720666,555,5154,207,13.95,750,1,12,BOTTLE,2,1996-04-03,NULL,2015-05-03 20:38:05.683,2016-10-12 10:31:25.310
4384,0458521,Pelee Island Pinot Noir Reserve VQA,0458521,777081725466,10777081725463,557,5482,207,17.45,750,1,12,BOTTLE,2,1997-10-10,NULL,2015-05-03 20:38:05.683,2016-09-27 10:30:47.090
4640,0470823,Pelee Island Merlot,0470823,777081721222,10777081721229,535,5438,207,10.45,750,1,12,BOTTLE,2,1997-07-30,NULL,2015-05-03 20:38:05.683,2017-07-05 10:30:49.027
4659,0472886,Pelee Island Sauvignon Blanc,0472886,777081711421,80777081711427,131,380,207,6.60,750,1,12,BOTTLE,5,1997-07-30,2003-02-04,2015-05-03 20:38:05.683,NULL
4798,0485128,Pelee Island Baco Noir VQA,0485128,777081721260,10777081721267,556,5484,207,12.95,750,1,12,BOTTLE,2,1997-10-10,NULL,2015-05-03 20:38:05.683,2017-04-12 15:11:24.660
4799,0485136,Pelee Island Late Harvest Vidal VQA *,0485136,777081311171,10777081311178,136,5483,207,5.85,375,1,12,BOTTLE,5,1997-10-10,2001-02-09,2015-05-03 20:38:05.683,NULL
5929,0511170,Nq Pelee Island Sauvignon Blanc *,0511170,777081711469,10777081711466,131,7367,207,7.95,750,1,12,BOTTLE,5,2002-07-25,2006-06-08,2015-05-03 20:38:05.683,2015-05-07 03:28:26.880
7133,0100057,Pelee Island Trio Blanc VQA Duty Free*,0100057,777081712190,10777081713927,271,7016,207,7.05,750,1,12,BOTTLE,5,2003-02-10,2003-09-19,2015-05-03 20:38:05.683,NULL
7134,0100065,Pelee Island Cabernet Franc VQA Duty Free*,0100065,777081720904,10777081723889,271,5133,207,8.05,750,1,12,BOTTLE,5,2003-02-11,2003-09-19,2015-05-03 20:38:05.683,NULL
8969,0890442,Pelee Island Canada Games 2001 Cab-Fra. VQA *,0890442,777081721970,10777081721977,138,5133,207,9.95,750,1,12,BOTTLE,5,2001-01-26,2003-04-10,2015-05-03 20:38:05.683,2015-05-07 03:28:26.880
9077,0891531,Internatl Plowing Match Sauv Blanc Sp Labl Hl,0891531,777081711971,10777081711978,131,6376,207,7.95,750,1,12,BOTTLE,5,1999-09-01,2003-04-10,2015-05-03 20:38:05.683,2016-08-24 10:31:03.517
9078,0891549,Internatl Plowing Mtch Cabernet Sp Labl Hl*,0891549,777081721987,10777081721984,135,6375,207,8.25,750,1,12,BOTTLE,5,1999-09-01,2003-04-14,2015-05-03 20:38:05.683,NULL
9079,0891556,Oakville 2000 Heritage Trails Blanc De Blanc,0891556,777081711933,10777081711930,131,6416,207,9.25,750,1,12,BOTTLE,5,1999-09-27,2003-01-29,2015-05-03 20:38:05.683,2015-05-07 03:28:26.880
9080,0891564,Oakville 2000 Heritage Trails Baco Noir Sl *,0891564,777081721949,10777081721946,135,6415,207,9.95,750,1,12,BOTTLE,5,1999-09-27,2003-04-10,2015-05-03 20:38:05.683,NULL
9148,0892240,Chi-Cheemaun Prem Select Chardonnay Sp Labl H,0892240,777081711957,1077708171195,126,6373,207,6.45,750,1,12,BOTTLE,5,1999-08-31,2001-02-10,2015-05-03 20:38:05.683,2015-05-07 03:28:26.880
9149,0892257,Chi-Cheemaun Cabernet Franc Sp Label Hl*,0892257,777081721963,1077708172192,138,6374,207,6.00,750,1,12,BOTTLE,5,1999-08-31,2001-02-10,2015-05-03 20:38:05.683,NULL
9340,0894162,Stratford Festival Pinot Gris 1994 *,0894162,,0,126,4832,207,4.70,750,1,12,BOTTLE,5,1995-03-27,1995-10-11,2015-05-03 20:38:05.683,NULL
9429,0895052,Pelee Island Canada Games 2001 Chardonnay VQA,0895052,777081712008,10777081712005,136,375,207,9.75,750,1,12,BOTTLE,5,2001-01-26,2002-03-28,2015-05-03 20:38:05.683,2015-05-07 03:28:26.880
9432,0895086,Camp Oochigeas Blanc De Blanc,0895086,777081711308,10777081711305,126,5338,207,6.95,750,1,12,BOTTLE,5,1997-04-15,1997-10-29,2015-05-03 20:38:05.683,NULL
9448,0895243,Pelee Island Gamay Noir Nouveau VQA *,0895243,777081720829,10777081720826,138,5005,207,8.10,750,1,12,BOTTLE,5,2002-11-04,2003-12-12,2015-05-03 20:38:05.683,2015-05-07 03:28:26.880
9451,0895276,Port Carling Gamay/Zweigelt VQA *,0895276,,0,128,5142,207,8.50,750,1,12,BOTTLE,5,1996-03-28,1996-08-26,2015-05-03 20:38:05.683,NULL
9453,0895292,Camp Oochigeas Cabernet,0895292,777081721345,10777081721342,122,5338,207,6.95,750,1,12,BOTTLE,5,1997-04-15,1997-10-29,2015-05-03 20:38:05.683,NULL
9544,0896217,Fergus Scottish Festival Blanc De Blanc * Hl,0896217,,0,120,5183,207,3.45,750,1,12,BOTTLE,5,1996-06-06,1996-10-17,2015-05-03 20:38:05.683,NULL
9754,0898312,Kincardine Blanc De Blanc VQA P.I.*Hl,0898312,777081711315,10777081711312,126,5572,207,8.95,750,1,12,BOTTLE,5,1998-02-05,1999-12-13,2015-05-03 20:38:05.683,NULL
9889,0899666,Pelee Island Late Harvest Riesling Df,0899666,777081710349,1077708171102,271,6467,207,8.95,750,1,12,BOTTLE,5,1991-11-15,2004-03-12,2015-05-03 20:38:05.683,NULL
9890,0899674,Pelee Island Blanc De Blanc Df,0899674,777081110514,10777081710988,271,1901,207,6.95,750,1,12,BOTTLE,5,1991-11-15,2005-06-07,2015-05-03 20:38:05.683,NULL
9900,0899773,Pelee Island Riesling Dry Df,0899773,777081710028,10777081711022,271,717,207,7.05,750,1,12,BOTTLE,5,1991-11-13,2003-09-19,2015-05-03 20:38:05.683,NULL
11808,0107763,Pelee Island Monarch Red VQA,0107763,777081725213,10777081725210,554,5484,207,10.95,750,1,12,BOTTLE,2,2008-08-08,NULL,2015-05-03 20:38:05.683,2017-08-01 08:30:42.650
12029,0109991,Pelee Island Gewürztraminer Riesling VQA,0109991,777081715221,10777081715228,549,9203,207,13.45,750,1,12,BOTTLE,2,2008-08-26,NULL,2015-05-03 20:38:05.683,2017-04-12 15:11:24.660
14547,0135939,Pelee Island Pinot Noir VQA,0135939,777081720706,10777081720703,557,1628,207,14.45,750,1,12,BOTTLE,2,1984-08-08,NULL,2015-05-03 20:38:05.683,2016-09-27 10:30:47.090
14548,0135947,Pelee Island Rose,0135947,,0,112,3080,207,3.90,750,1,12,BOTTLE,5,1985-09-03,1990-10-17,2015-05-03 20:38:05.683,NULL
14551,0135970,Pelee Island Gewürztraminer,0135970,777081714842,10777081714849,532,379,207,10.95,750,1,12,BOTTLE,2,1989-09-06,NULL,2015-05-03 20:38:05.683,2017-08-29 10:42:00.407
14552,0135988,Pelee Island Scheurebe VQA (V),0135988,777081710066,10777081710063,136,1625,207,5.45,750,1,12,BOTTLE,5,1984-08-08,2000-09-05,2015-05-03 20:38:05.683,NULL
14555,0136010,Pelee Island Riesling Late Harvest VQA,0136010,777081710349,10777081710346,541,4399,207,15.95,750,1,12,BOTTLE,2,1984-08-08,2016-10-26,2015-05-03 20:38:05.683,2017-07-25 10:31:25.920
14556,0136028,Pelee Island Time Riesling Vidal VQA,0136028,777081710028,10777081710025,542,376,207,12.45,750,1,12,BOTTLE,2,1984-08-08,NULL,2015-05-03 20:38:05.683,2017-02-14 10:30:42.563
14557,0136036,Pelee Island Vin Villa,0136036,777081110552,10777081110559,120,380,207,4.45,1000,1,12,BOTTLE,5,1984-08-08,1997-11-04,2015-05-03 20:38:05.683,NULL
14558,0136044,Pelee Island Chardonnay VQA,0136044,777081710103,10777081710100,540,375,207,11.95,750,1,12,BOTTLE,2,1984-08-08,NULL,2015-05-03 20:38:05.683,2017-08-29 10:42:00.407
20073,0145417,Pelee Island Lighthouse Riesling VQA,0145417,777081715382,10777081715389,541,9203,207,12.45,750,1,12,BOTTLE,2,2010-01-06,NULL,2015-05-03 20:38:05.683,2017-08-29 10:42:00.407
20076,0145441,Pelee Island Lighthouse Cabernet Franc VQA,0145441,777081725367,10777081725364,559,9203,207,13.45,750,1,12,BOTTLE,2,2010-01-08,NULL,2015-05-03 20:38:05.683,2016-07-05 10:31:23.540
21320,0158048,Pelee Island Rouge,0158048,777081120797,10777081120794,534,382,207,8.10,1000,1,12,BOTTLE,5,1985-09-03,2011-03-25,2015-05-03 20:38:05.683,NULL
22159,0166637,Pelee Island Rouge,0166637,777081520801,10777081520808,534,382,207,12.95,1500,1,6,BOTTLE,2,1986-10-07,NULL,2015-05-03 20:38:05.683,2017-08-29 10:42:00.407
22160,0166645,Pelee Island Sauvignon Blanc,0166645,777081511441,10777081511448,131,380,207,13.95,1500,1,6,BOTTLE,5,1986-10-07,2002-09-27,2015-05-03 20:38:05.683,NULL
23694,0182105,03 Vidal Icewine VQA Pelee (Pelee Island),0182105,777081310457,10777081310454,650,4394,207,40.05,375,1,12,BOTTLE,5,1996-09-17,2006-05-26,2015-05-03 20:38:05.683,2015-05-07 09:37:23.737
24111,0186312,Timmins Diamond Jubilee Red,0186312,,0,116,3079,207,4.85,1000,1,12,BOTTLE,5,1986-10-07,1989-06-28,2015-05-03 20:38:05.683,NULL
25286,0198226,Alvar Chardonnay Gewürztraminer VQA,0198226,777081715450,10777081715457,542,9203,207,6.75,750,1,12,BOTTLE,5,2010-09-17,2013-12-27,2015-05-03 20:38:05.683,2016-04-11 13:13:51.500
28576,0526392,Select Lt.Har. 1997 Scheurebe VQA (Pelee Isl),0526392,777081311652,10777081311659,548,4394,207,9.95,375,1,24,BOTTLE,5,1998-11-04,2001-12-20,2015-05-03 20:38:05.683,NULL
28585,0527036,#08 Gewürztraminer Reserve VQA (Pelee Island),0527036,777081511458,10777081511455,547,4400,207,12.95,750,1,12,BOTTLE,5,1999-03-15,2013-09-17,2015-05-03 20:38:05.683,2015-05-07 03:28:26.880
28639,0529354,Pelee Island Pelee Pink VQA,0529354,777081723967,10777081723964,593,7582,207,11.95,750,1,12,BOTTLE,2,2003-07-16,NULL,2015-05-03 20:38:05.683,2017-08-01 08:30:42.650
28682,0530576,10 Cabernet Sauvignon VQA (Pelee Island Winer,0530576,777081721789,10777081271786,560,4394,207,12.20,750,1,12,BOTTLE,4,2001-04-20,2013-05-14,2015-05-03 20:38:05.683,2015-05-07 03:28:26.880
28683,0530584,&Cabernet/Merlot 1997 VQA (Pelee Island),0530584,777081320654,10777081320651,555,4394,207,9.95,375,1,6,BOTTLE,5,1999-02-12,2001-12-20,2015-05-03 20:38:05.683,NULL
30177,0569491,Pelee Island Blush*,0569491,777081711995,10777081711992,132,6799,207,5.95,750,1,12,BOTTLE,5,2000-09-19,2003-07-11,2015-05-03 20:38:05.683,NULL
31248,0590083,Pelee Island Cabernet Franc VQA Gift Box**,0590083,777081722922,10777081722929,240,5133,207,12.45,750,1,6,BOTTLE,5,2001-03-23,2002-02-08,2015-05-03 20:38:05.683,NULL
31249,0590091,Pelee Island Prem.Select Chardonnay VQA Gift,0590091,777081712930,10777081712937,240,375,207,12.95,750,1,6,BOTTLE,5,2001-03-23,2002-02-08,2015-05-03 20:38:05.683,2015-05-07 03:28:26.880
31407,0591719,Pelee Island Eco White VQA,0591719,777081712190,1077708171218,542,7016,207,11.95,750,1,12,BOTTLE,2,2001-05-07,NULL,2015-05-03 20:38:05.683,2017-02-14 10:30:42.563
31648,0594168,Pelee Island Merlot,0594168,777081521242,1077708152125,535,5438,207,18.45,1500,1,6,BOTTLE,2,2001-06-13,NULL,2015-05-03 20:38:05.683,2017-05-09 10:30:41.610
31650,0594184,Pelee Island Late Harvest Vidal VQA,0594184,777081711186,10777081711183,544,7257,207,12.95,750,1,12,BOTTLE,2,2002-02-28,NULL,2015-05-03 20:38:05.683,2017-03-14 10:30:41.217
31659,0594275,Pelee Island Monarch Vidal VQA,0594275,777081510888,10777081510885,544,4791,207,18.45,1500,1,6,BOTTLE,2,2001-08-07,NULL,2015-05-03 20:38:05.683,2016-07-05 10:31:23.540
33290,0612465,Pelee Island Eco Red VQA,0612465,777081723059,10777081723056,554,7358,207,11.95,750,1,12,BOTTLE,2,2002-07-08,NULL,2015-05-03 20:38:05.683,2016-09-27 10:30:47.090
33306,0612622,Pelee Island Lighthouse Merlot VQA,0612622,777081723011,10777081723018,558,5438,207,10.00,750,1,12,BOTTLE,4,2002-03-13,2016-08-10,2015-05-03 20:38:05.683,2017-01-17 10:30:31.120
33491,0614768,Pelee Island Sauvignon Blanc,0614768,777081514640,10777081514647,530,8385,207,11.00,1500,1,6,BOTTLE,5,2006-03-24,2007-11-19,2015-05-03 20:38:05.683,NULL
33497,0614826,Pelee Island Pinot Grigio,0614826,777081514626,10777081514623,531,8384,207,17.95,1500,1,6,BOTTLE,2,2006-03-24,NULL,2015-05-03 20:38:05.683,2017-07-05 10:30:49.027
